place;lon;lat;type
Калининград;20.51095;54.70649;2
Светлогорск;20.15479;54.93987;2
Янтарный;19.9334;54.8717;2
Балтийск;19.90929;54.65455;2
Зеленоградск;20.47668;54.95893;2
Куршская коса;20.651103;55.033700;1
Форт Дёнхофф;20.567602;54.656851;3
